ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,Great Blue Heron (not scavenging),Deer mouse,Human,Western Fence Lizard,Mule deer (mouth contact),Black phoebe
6,34,4,3406s (~56.77 minutes),5110s (~1.42 hours),6813s (~1.89 hours),1703s (~28.38 minutes),0s,0s,0s,0s,0s,0s
6,35,4,4881s (~1.36 hours),1395s (~23.25 minutes),15341s (~4.26 hours),2092s (~34.87 minutes),0s,0s,0s,0s,0s,0s
6,36,4,6000s (~1.67 hours),9000s (~2.5 hours),4800s (~1.33 hours),3600s (~1 hours),600s (~10 minutes),0s,0s,0s,0s,0s
6,37,4,11950s (~3.32 hours),2516s (~41.93 minutes),6289s (~1.75 hours),629s (~10.48 minutes),0s,0s,0s,0s,0s,0s
6,38,4,7893s (~2.19 hours),4250s (~1.18 hours),4250s (~1.18 hours),1821s (~30.35 minutes),0s,0s,0s,0s,0s,0s
6,39,4,17200s (~4.78 hours),3686s (~1.02 hours),6143s (~1.71 hours),0s,0s,0s,0s,0s,0s,0s
6,40,4,9556s (~2.65 hours),637s (~10.62 minutes),1911s (~31.85 minutes),1274s (~21.23 minutes),0s,0s,0s,0s,0s,0s
6,41,4,11191s (~3.11 hours),0s,11191s (~3.11 hours),0s,0s,0s,0s,0s,0s,0s
6,42,4,5954s (~1.65 hours),0s,1323s (~22.05 minutes),1985s (~33.08 minutes),0s,0s,0s,0s,0s,0s
6,43,4,11854s (~3.29 hours),0s,0s,697s (~11.62 minutes),0s,0s,0s,0s,0s,0s
6,44,4,6217s (~1.73 hours),1865s (~31.08 minutes),622s (~10.37 minutes),0s,0s,0s,0s,0s,0s,0s
6,45,4,2487s (~41.45 minutes),622s (~10.37 minutes),1243s (~20.72 minutes),622s (~10.37 minutes),0s,0s,0s,0s,0s,0s
6,46,4,0s,1260s (~21 minutes),0s,630s (~10.5 minutes),0s,0s,0s,0s,0s,0s
6,47,4,1259s (~20.98 minutes),630s (~10.5 minutes),0s,6926s (~1.92 hours),0s,0s,0s,0s,0s,0s
6,48,4,0s,0s,0s,2100s (~35 minutes),0s,0s,0s,0s,0s,0s
6,49,4,1437s (~23.95 minutes),0s,0s,718s (~11.97 minutes),0s,0s,0s,0s,0s,0s
6,50,4,1569s (~26.15 minutes),0s,0s,3138s (~52.3 minutes),0s,0s,0s,0s,0s,0s
7,1,3,2361s (~39.35 minutes),1181s (~19.68 minutes),2952s (~49.2 minutes),590s (~9.83 minutes),0s,0s,0s,0s,0s,0s
7,2,3,1822s (~30.37 minutes),2429s (~40.48 minutes),3036s (~50.6 minutes),0s,0s,0s,0s,0s,0s,0s
7,3,3,0s,2968s (~49.47 minutes),1781s (~29.68 minutes),594s (~9.9 minutes),0s,0s,0s,0s,0s,0s
7,4,3,0s,1187s (~19.78 minutes),5936s (~1.65 hours),594s (~9.9 minutes),0s,0s,0s,0s,0s,0s
7,5,3,594s (~9.9 minutes),0s,2374s (~39.57 minutes),3561s (~59.35 minutes),0s,0s,0s,0s,0s,0s
7,6,4,4155s (~1.15 hours),594s (~9.9 minutes),4155s (~1.15 hours),2374s (~39.57 minutes),0s,0s,0s,0s,0s,0s
7,7,4,1781s (~29.68 minutes),0s,2968s (~49.47 minutes),0s,0s,0s,0s,0s,0s,0s
8,2,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
8,3,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,4,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
8,5,4,1780s (~29.67 minutes),0s,0s,0s,0s,0s,0s,0s,0s,0s
8,6,4,0s,0s,0s,1780s (~29.67 minutes),0s,0s,0s,0s,0s,0s
8,7,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
8,8,4,0s,0s,0s,1187s (~19.78 minutes),0s,0s,0s,0s,0s,0s
8,9,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,10,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,11,4,0s,0s,0s,3560s (~59.33 minutes),0s,0s,0s,0s,0s,0s
8,12,4,0s,593s (~9.88 minutes),0s,4746s (~1.32 hours),0s,0s,0s,0s,0s,0s
8,13,4,0s,0s,0s,3560s (~59.33 minutes),0s,0s,0s,0s,0s,0s
8,14,4,0s,1780s (~29.67 minutes),0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,15,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,16,4,0s,0s,0s,4152s (~1.15 hours),0s,0s,0s,0s,0s,0s
8,17,4,0s,0s,0s,1173s (~19.55 minutes),0s,0s,0s,0s,0s,0s
8,18,4,0s,0s,0s,2372s (~39.53 minutes),0s,0s,0s,0s,0s,0s
8,19,4,593s (~9.88 minutes),0s,0s,1186s (~19.77 minutes),0s,0s,0s,0s,0s,0s
8,20,4,0s,0s,0s,4152s (~1.15 hours),0s,0s,0s,0s,0s,0s
8,21,4,0s,0s,0s,1186s (~19.77 minutes),0s,0s,0s,0s,0s,0s
8,22,4,0s,0s,0s,2966s (~49.43 minutes),0s,0s,0s,0s,0s,0s
8,23,4,0s,0s,0s,1186s (~19.77 minutes),0s,0s,0s,0s,0s,0s
8,24,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,25,4,0s,0s,0s,2372s (~39.53 minutes),0s,0s,0s,0s,0s,0s
8,26,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,27,4,0s,0s,0s,593s (~9.88 minutes),0s,0s,0s,0s,0s,0s
8,28,4,0s,0s,0s,592s (~9.87 minutes),0s,0s,0s,0s,0s,0s
9,2,4,593s (~9.88 minutes),0s,0s,8301s (~2.31 hours),0s,0s,0s,0s,0s,0s
9,3,4,593s (~9.88 minutes),0s,593s (~9.88 minutes),5336s (~1.48 hours),0s,0s,0s,0s,0s,0s
9,4,4,0s,0s,0s,1779s (~29.65 minutes),0s,0s,0s,0s,0s,0s
9,5,4,0s,0s,593s (~9.88 minutes),3558s (~59.3 minutes),0s,0s,0s,0s,0s,0s
9,6,4,591s (~9.85 minutes),0s,0s,4140s (~1.15 hours),0s,0s,0s,0s,0s,0s
10,2,2,1181s (~19.68 minutes),2953s (~49.22 minutes),0s,0s,0s,0s,0s,0s,0s,0s
11,2,3,593s (~9.88 minutes),5337s (~1.48 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,3,3,600s (~10 minutes),7200s (~2 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,4,3,593s (~9.88 minutes),11264s (~3.13 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,5,3,0s,23714s (~6.59 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,6,3,600s (~10 minutes),8400s (~2.33 hours),600s (~10 minutes),0s,0s,0s,0s,0s,0s,0s
11,7,3,593s (~9.88 minutes),2371s (~39.52 minutes),0s,0s,0s,0s,0s,0s,0s,0s
11,8,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
11,9,4,0s,5335s (~1.48 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,10,4,1778s (~29.63 minutes),14224s (~3.95 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,11,4,593s (~9.88 minutes),593s (~9.88 minutes),593s (~9.88 minutes),0s,0s,0s,0s,0s,0s,0s
