ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,small_mammal,Human
12,2,3,2959s (~49.32 minutes),5326s (~1.48 hours),0s,0s,0s,0s
12,3,3,1184s (~19.73 minutes),0s,0s,0s,0s,0s
12,4,4,0s,2432s (~40.53 minutes),0s,0s,0s,0s
12,5,4,0s,608s (~10.13 minutes),0s,0s,0s,0s
12,6,4,0s,2960s (~49.33 minutes),1184s (~19.73 minutes),0s,0s,0s
12,7,4,0s,3551s (~59.18 minutes),592s (~9.87 minutes),0s,0s,0s
12,8,4,1887s (~31.45 minutes),1887s (~31.45 minutes),629s (~10.48 minutes),0s,0s,0s
13,1,3,1744s (~29.07 minutes),0s,15112s (~4.2 hours),0s,0s,0s
14,2,3,4142s (~1.15 hours),33140s (~9.21 hours),1184s (~19.73 minutes),0s,0s,0s
14,3,3,2368s (~39.47 minutes),26635s (~7.4 hours),0s,0s,0s,0s
14,4,3,2367s (~39.45 minutes),23079s (~6.41 hours),0s,0s,0s,0s
14,5,3,2400s (~40 minutes),7200s (~2 hours),0s,0s,0s,0s
14,6,3,2400s (~40 minutes),6000s (~1.67 hours),0s,0s,0s,0s
14,7,3,0s,0s,592s (~9.87 minutes),0s,0s,0s
14,8,3,2959s (~49.32 minutes),0s,0s,0s,0s,0s
14,9,3,0s,583s (~9.72 minutes),583s (~9.72 minutes),0s,0s,0s
15,2,3,1184s (~19.73 minutes),0s,4143s (~1.15 hours),0s,0s,0s
17,2,3,726s (~12.1 minutes),0s,4358s (~1.21 hours),0s,0s,0s
18,2,1,6917s (~1.92 hours),0s,0s,0s,0s,0s
18,16,4,0s,0s,0s,0s,0s,0s
20,2,2,5325s (~1.48 hours),19525s (~5.42 hours),0s,0s,0s,0s
20,3,2,2366s (~39.43 minutes),0s,0s,0s,0s,0s
20,4,3,0s,0s,592s (~9.87 minutes),0s,0s,0s
20,5,3,5914s (~1.64 hours),0s,0s,0s,0s,0s
20,6,3,2957s (~49.28 minutes),23652s (~6.57 hours),0s,0s,0s,0s
20,7,3,1774s (~29.57 minutes),2365s (~39.42 minutes),0s,0s,0s,0s
20,8,3,5956s (~1.65 hours),3722s (~1.03 hours),0s,0s,0s,0s
20,9,3,5323s (~1.48 hours),3549s (~59.15 minutes),1774s (~29.57 minutes),0s,0s,0s
20,10,3,1183s (~19.72 minutes),0s,1774s (~29.57 minutes),0s,0s,0s
20,11,3,1183s (~19.72 minutes),2365s (~39.42 minutes),5913s (~1.64 hours),0s,0s,0s
20,12,3,2400s (~40 minutes),0s,7200s (~2 hours),0s,0s,0s
20,13,3,0s,0s,5323s (~1.48 hours),0s,0s,0s
22,2,3,591s (~9.85 minutes),0s,0s,0s,0s,0s
22,3,4,0s,0s,0s,0s,0s,0s
22,4,4,0s,0s,0s,0s,0s,0s
22,5,4,592s (~9.87 minutes),14200s (~3.94 hours),0s,0s,0s,0s
22,6,4,0s,1775s (~29.58 minutes),1775s (~29.58 minutes),0s,0s,0s
22,7,4,0s,592s (~9.87 minutes),2366s (~39.43 minutes),0s,0s,0s
22,8,4,0s,0s,0s,0s,0s,0s
22,9,4,0s,0s,0s,0s,0s,0s
22,10,4,0s,0s,0s,0s,0s,0s
22,11,4,0s,0s,0s,0s,0s,0s
22,12,4,0s,0s,0s,0s,0s,0s
22,13,4,0s,0s,0s,0s,0s,0s
22,14,4,0s,0s,0s,0s,0s,0s
22,15,4,591s (~9.85 minutes),0s,0s,0s,0s,0s
23,2,3,592s (~9.87 minutes),0s,29585s (~8.22 hours),0s,0s,0s
23,3,3,7689s (~2.14 hours),10646s (~2.96 hours),20109s (~5.59 hours),0s,0s,0s
23,4,3,2366s (~39.43 minutes),7097s (~1.97 hours),30756s (~8.54 hours),0s,0s,0s
23,5,3,6600s (~1.83 hours),1200s (~20 minutes),18000s (~5 hours),0s,0s,0s
23,6,3,7096s (~1.97 hours),591s (~9.85 minutes),8278s (~2.3 hours),0s,0s,0s
23,7,3,9459s (~2.63 hours),0s,5321s (~1.48 hours),0s,0s,0s
23,8,3,6503s (~1.81 hours),0s,10050s (~2.79 hours),0s,0s,0s
23,9,3,9829s (~2.73 hours),894s (~14.9 minutes),12807s (~3.56 hours),0s,0s,0s
23,10,4,1800s (~30 minutes),0s,7200s (~2 hours),0s,0s,0s
23,11,4,591s (~9.85 minutes),0s,5321s (~1.48 hours),0s,0s,0s
24,2,3,3549s (~59.15 minutes),0s,2366s (~39.43 minutes),0s,0s,0s
