Data Collector / Recorder,Date,Survey Start Time,Survey End Time,Observation Latitude,Observation Longitude,Observation Location,Carcass ID/#,Carcass Species,Decomposition Level / Age (1-4),Carcass Latitude,Carcass Longitude,Carcass Length (meters),Carcass Length Measurement,Bout #,Start Time,Bout Length (seconds),Feeding Observation Time (seconds),# of Pecks,Scavenger Species ID ,Max. Species in Area,Max. Species on Carcass,Notes,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33113,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,6,11:16,NA,193,42,UNGU,NA,NA,,
Selah Hyson / Frankie Gerraty / Gabriel Gott / Megan Ireland,11 Aug 2025,10:02,11:29,37.11628,-122.33049,"Bight Beach, Año Nuevo",1,unknown pinniped,NA,37.11658,-122.33113,NA,NA,7,11:24,NA,259,66,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12713,-122.33668,"North Point Beach, Año Nuevo",CCAM 53,CASL,4,37.12741,-122.33685,1.8,measured,1,10:02,252,252,33,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,1,11:13,1659,309,56,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,1,11:13,1659,313,78,UNGU,2 CORA,1 CORA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,2,11:20,NA,255,71,CORA,1 UNGU ; 1 CORA,1 UNGU ; 1 CORA,displaced by UNGU,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,3,11:23,307,305,44,CORA,2 CORA ; 1 UNGU,1 CORA ; 1 UNGU,displaced by UNGU and CORA, 
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,4,11:40,221,221,29,UNGU,NA,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,5,12:00,179,179,34,UNGU,NA,NA,displaced by UNGU,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,6,12:03,NA,321,57,UNGU,2 UNGU,NA,view obstructed by ELSE,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,7,12:14,NA,304,72,UNGU,1 UNGU,NA,,
Selah Hyson / Gabriel Gott,15 Aug 2025,9:15,12:35,37.12022,-122.33783,"North Point Beach, Año Nuevo",1,CASL,3,37.11946,-122.33779,1,estimated,7,12:19,NA,136,8,UNGU,4 UNGU,1 UNGU,displaced by UNGU,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,1,15:30,NA,69,8,TUVU,1 UNGU ,1 UNGU,displaced by TUVU,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,2,15:31,135,135,5,TUVU,1 UNGU,1 UNGU,,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,3,15:50,89,89,NA,CORA,1 UNGU ; 1 TUVU,1 UNGU,,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,4,16:00,1125,300,73,UNGU,NA,NA,,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,4,16:00,1125,207,48,UNGU,NA,NA,,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,5,16:20,658,300,51,UNGU,NA,NA,displaced by UNGU,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,6,16:34,1400,301,55,UNGU,2 CORA,1 CORA,,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,6,16:34,1400,204,27,UNGU,NA,NA,,
Selah Hyson / Claire Nielsen,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,7,17:00,246,246,64,CORA,1 UNGU,NA,displaced by UNGU,
Frankie Gerraty,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,8,15:30,NA,332,100,UNGU,2 TUVU ; 1 UNGU,1 TUVU,,
Frankie Gerraty,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,8,15:40,NA,315,77,UNGU,NA,NA,,
Frankie Gerraty,20 Aug 2025,15:30,17:00,37.11624,-122.33051,"Bight Beach, Año Nuevo",CCAM57,CASL,3,37.11652,-122.331,1.02,measured,8,15:56,NA,85,23,UNGU,NA,NA,,
Frankie Gerraty,20 Aug 2025,16:20,16:55,37.1181,-123.33463,North Point Overlook,1,CASL,1,37.1178,-122.33498,1.2,estimated,1,16:22,NA,70,13,TUVU,3 TUVU,1 TUVU,displaced by TUVU,
Frankie Gerraty,20 Aug 2025,16:20,16:55,37.1181,-123.33463,North Point Overlook,1,CASL,1,37.1178,-122.33498,1.2,estimated,2,16:30,NA,229,52,TUVU,10 TUVU ; 1 UNGU,5 TUVU,displaced by TUVU,
Frankie Gerraty,20 Aug 2025,16:20,16:55,37.1181,-123.33463,North Point Overlook,1,CASL,1,37.1178,-122.33498,1.2,estimated,3,16:45,NA,302,42,TUVU,8 TUVU ; 1 UNGU,NA,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,1,9:03,375,305,92,UNGU,5 CORA,4 CORA,disturbed by ELSE,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,2,9:04,NA,285,55,CORA,4 CORA ; 1 UNGU,3 CORA ; 1 UNGU,disturbed by ELSE,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,3,10:27,294,294,67,CORA,1 CORA ; 1 UNGU,1 CORA ; 1 UNGU,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,4,10:27,2309,252,76,CORA,1 CORA ; 1 UNGU,1 CORA ; 1 UNGU,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,5,10:27,1341,298,80,UNGU,1 CORA ; 1 UNGU,1 CORA ; 1 UNGU,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,6,10:48,494,273,84,CORA,3 CORA ; 1 UNGU,3 CORA ; 1 UNGU,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,7,11:03,948,257,62,CORA,4 CORA ; 1 UNGU,3 CORA,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,7,11:03,948,274,90,CORA,3 CORA,2 CORA,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,8,11:06,NA,65,26,CORA,4 CORA,1 CORA,,
Selah Hyson / Frankie Gerraty,22 Aug 2025,8:30,11:30,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.117857,-122.334821,1.25,estimated,9,11:16,NA,36,12,CORA,1 CORA,1 CORA,,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,1,10:29,NA,313,75,TUVU,1 TUVU,1 TUVU,,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,2,10:30,NA,312,57,TUVU,1 TUVU,1 TUVU,Juvenile,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,2,10:37,NA,292,29,TUVU,2 TUVU,2 TUVU,"Juvenile, timid after TUVU arrival",
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,2,10:50,NA,256,45,TUVU,1 TUVU,1 TUVU,,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,3,10:36,2280,320,61,TUVU,2 TUVU,2 TUVU,,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,3,10:50,2280,300,52,TUVU,2 TUVU,1 TUVU,,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,4,11:15,NA,306,47,TUVU,1 TUVU ; 1 UNGU,1 TUVU ; 1 UNGU,Juvenile,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,5,11:18,295,295,48,UNGU,2 TUVU,2 TUVU,,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,6,11:24,NA,292,54,TUVU,3 TUVU,3 TUVU,,
